日期,縣市,地方政府電力售電量(度),地方政府電力抄表戶數,地方政府電力用電佔比(%),地方政府電燈(營業)售電量(度),地方政府電燈(營業)抄表戶數,地方政府電燈(營業)用電佔比(%),地方政府電燈(非營業)售電量(度),地方政府電燈(非營業)抄表戶數,地方政府電燈(非營業)用電佔比(%),中央政府電力售電量(度),中央政府電力抄表戶數,中央政府電力用電佔比(%),中央政府電燈(營業)售電量(度),中央政府電燈(營業)抄表戶數,中央政府電燈(營業)用電佔比(%),中央政府電燈(非營業)售電量(度),中央政府電燈(非營業)抄表戶數,中央政府電燈(非營業)用電佔比(%),包燈售電量(度),包燈抄表戶數,包燈用電佔比(%),大專院校電力售電量(度),大專院校電力抄表戶數,大專院校電力用電佔比(%),大專院校電燈(營業)售電量(度),大專院校電燈(營業)抄表戶數,大專院校電燈(營業)用電佔比(%),大專院校電燈(非營業)售電量(度),大專院校電燈(非營業)抄表戶數,大專院校電燈(非營業)用電佔比(%),合計售電量(度)
2016年09月,新竹縣,2165031,76,0.0183,45725,2,0.0461,989238,159,0.0251,1211993,25,0.0101,0,0,0,3599,2,0.0006,6680470,3726,0.0322,2593260,9,0.0134,0,0,0,1732,2,0.0026,13691048
2016年09月,苗栗縣,1345097,59,0.0114,131905,10,0.1331,2185849,818,0.0555,2103882,36,0.0175,0,0,0,130465,107,0.0218,7075884,5076,0.0341,2045500,5,0.0105,0,0,0,76760,4,0.1163,15095342
2016年09月,彰化縣,3048734,106,0.0257,42674,8,0.0431,3088340,670,0.0785,2831169,46,0.0236,0,0,0,283689,101,0.0474,17866275,9303,0.0862,4359314,10,0.0224,0,0,0,35519,7,0.0538,31555714
2016年09月,南投縣,1512572,67,0.0128,4747,1,0.0048,934110,191,0.0237,2668593,56,0.0223,8367,1,0.0383,96688,45,0.0162,5926490,4396,0.0286,1579777,3,0.0081,0,0,0,0,0,0,12731344
2016年09月,雲林縣,1242321,53,0.0105,32706,16,0.033,2299402,520,0.0584,1540210,38,0.0128,0,0,0,222081,71,0.0371,9857812,6896,0.0475,4266056,7,0.022,0,0,0,119,1,0.0002,19460707
2016年09月,嘉義縣,1218982,60,0.0103,4541,3,0.0046,2166479,571,0.0551,702710,23,0.0059,38160,1,0.1747,65334,51,0.0109,7428271,3037,0.0358,5279884,9,0.0272,0,0,0,3485,2,0.0053,16907846
2016年09月,屏東縣,1146905,88,0.0097,20753,14,0.0209,1947728,522,0.0495,5018887,76,0.0419,960,2,0.0044,194361,137,0.0325,9034709,4789,0.0436,4786849,13,0.0246,0,0,0,19066,8,0.0289,22170218
2016年09月,台東縣,890974,54,0.0075,15925,13,0.0161,1125173,415,0.0286,2279814,56,0.019,13282,4,0.0608,292981,134,0.049,2959115,1234,0.0143,1251660,6,0.0064,0,0,0,14588,4,0.0221,8843512
2016年09月,花蓮縣,1004566,56,0.0085,272917,25,0.2754,1629739,498,0.0414,2011895,57,0.0168,3440,1,0.0157,404347,177,0.0676,5679594,3229,0.0274,4556074,10,0.0235,0,0,0,9360,9,0.0142,15571932
2016年09月,基隆市,1737331,71,0.0147,0,0,0,397920,56,0.0101,1838823,35,0.0153,0,0,0,94585,19,0.0158,1854712,1556,0.0089,2209600,5,0.0114,0,0,0,29920,1,0.0453,8162891
2016年09月,新竹市,2643724,76,0.0223,16640,1,0.0168,557297,78,0.0142,2369838,45,0.0198,0,0,0,219636,18,0.0367,1971721,2200,0.0095,13285040,12,0.0684,0,0,0,0,0,0,21063896
2016年09月,嘉義市,1296359,33,0.0109,0,0,0,376981,57,0.0096,1186646,25,0.0099,0,0,0,208228,37,0.0348,2931492,1878,0.0141,2187400,10,0.0113,0,0,0,3880,2,0.0059,8190986
2016年09月,澎湖縣,838532,52,0.0071,4780,2,0.0048,308753,42,0.0078,1531385,36,0.0128,15605,3,0.0714,87861,48,0.0147,1182814,810,0.0057,423400,3,0.0022,0,0,0,23841,53,0.0361,4416971
2016年09月,金門縣,1336260,62,0.0113,0,0,0,463186,89,0.0118,967266,28,0.0081,20214,6,0.0925,208198,51,0.0348,839050,973,0.004,548100,3,0.0028,0,0,0,4046,2,0.0061,4386320
2016年09月,連江縣,169560,9,0.0014,5348,4,0.0054,331748,59,0.0084,233680,6,0.0019,0,0,0,105299,30,0.0176,227352,225,0.0011,0,0,0,0,0,0,0,0,0,1072987
2016年09月,合計,118460944,3117,1,990928,208,1,39350519,8858,1,119901013,1373,1,218455,41,1,5982433,1922,1,207355959,161359,1,194209417,401,1,61728,6,1,660122,332,1,687191518
2016年08月,新北市,21055971,506,0.1767,93356,9,0.1018,3792205,909,0.1018,10854859,91,0.081,3186,3,0.0238,477442,121,0.0813,13391136,22057,0.0642,13512540,32,0.0743,0,0,0,10080,1,0.0084,63190775
2016年08月,台北市,36823457,448,0.309,26064,6,0.0284,1477770,303,0.0397,43950291,210,0.3281,0,0,0,702034,85,0.1195,13415490,24519,0.0643,51205480,114,0.2816,2022,2,0.2712,943226,274,0.7897,148545834
2016年08月,桃園市,6112851,197,0.0513,3840,1,0.0042,2849865,346,0.0765,9247671,57,0.069,0,0,0,566693,51,0.0964,17287693,11737,0.0829,19703280,25,0.1083,0,0,0,0,0,0,55771893
2016年08月,台中市,10305532,289,0.0865,96958,8,0.1057,4562070,479,0.1225,13741369,128,0.1026,12316,2,0.092,409821,156,0.0697,25862785,20063,0.124,19143192,43,0.1053,3675,1,0.4928,128290,18,0.1074,74266008
2016年08月,台南市,6138858,229,0.0515,119226,38,0.13,3390951,1362,0.091,6233680,115,0.0465,8560,2,0.064,370789,119,0.0631,22756305,11640,0.1091,8961360,24,0.0493,0,0,0,572,2,0.0005,47980301
2016年08月,高雄市,14268794,475,0.1198,51803,38,0.0565,2290992,474,0.0615,17618176,152,0.1315,20042,3,0.1498,403036,157,0.0686,28527153,17844,0.1368,22500972,51,0.1237,1760,1,0.236,780,3,0.0007,85683508
2016年08月,宜蘭縣,1568555,49,0.0132,107081,5,0.1167,1153353,188,0.031,1987632,36,0.0148,0,0,0,202622,61,0.0345,5667223,4045,0.0272,2300795,7,0.0127,0,0,0,0,0,0,12987261
2016年08月,新竹縣,2146778,76,0.018,19275,1,0.021,981979,134,0.0264,1266248,25,0.0095,0,0,0,84470,14,0.0144,6658133,3710,0.0319,2287860,9,0.0126,0,0,0,3269,1,0.0027,13448012
2016年08月,苗栗縣,1463742,58,0.0123,170056,17,0.1854,1994364,728,0.0535,2169864,37,0.0162,0,0,0,101348,45,0.0172,7027396,5067,0.0337,1699900,5,0.0093,0,0,0,0,0,0,14626670
2016年08月,彰化縣,3286598,105,0.0276,52650,29,0.0574,3304014,669,0.0887,2831554,46,0.0211,0,0,0,403827,118,0.0687,17702614,9273,0.0849,3809825,10,0.0209,0,0,0,9840,1,0.0082,31400922
2016年08月,南投縣,1663078,67,0.014,9389,4,0.0102,1706620,244,0.0458,2895262,56,0.0216,0,0,0,429411,104,0.0731,5871366,4393,0.0282,1281791,3,0.007,0,0,0,0,0,0,13856917
