日期,縣市,801 KW以上售電量(度),801 KW以上抄表戶數,801 KW以上用電佔比(%),小於等於800 KW售電量(度),小於等於800 KW抄表戶數,小於等於800 KW用電佔比(%),表燈營業用電售電量(度),表燈營業用電抄表戶數,表燈營業用電用電佔比(%),合計
2019年07月,宜蘭縣,16665609,23,0.0124,31144813,1479,0.02,31664596,15797,0.0217,79475018
2019年07月,新竹縣,22354540,24,0.0166,37333787,1879,0.0239,30376298,12308,0.0208,90064625
2019年07月,苗栗縣,13923860,18,0.0103,25657235,1232,0.0164,28791241,14763,0.0197,68372336
2019年07月,彰化縣,68623931,31,0.0509,68181791,5232,0.0437,53486747,28222,0.0366,190292469
2019年07月,南投縣,9786200,21,0.0073,25819318,1512,0.0165,21497325,12244,0.0147,57102843
2019年07月,雲林縣,13221480,24,0.0098,36416770,2371,0.0233,31803595,20282,0.0218,81441845
2019年07月,嘉義縣,14187900,13,0.0105,18240304,1313,0.0117,19345441,11749,0.0133,51773645
2019年07月,屏東縣,18908980,32,0.014,46158301,3272,0.0296,37707468,20906,0.0258,102774749
2019年07月,台東縣,6052800,8,0.0045,19671775,836,0.0126,12018392,6867,0.0082,37742967
2019年07月,花蓮縣,21252028,25,0.0158,25423138,1217,0.0163,23329880,11323,0.016,70005046
2019年07月,基隆市,10267360,19,0.0076,23236595,1247,0.0149,17517283,7580,0.012,51021238
2019年07月,新竹市,56653613,56,0.042,36242243,2059,0.0232,28693414,11355,0.0197,121589270
2019年07月,嘉義市,11641200,16,0.0086,22666537,1246,0.0145,18184688,9545,0.0125,52492425
2019年07月,澎湖縣,3855000,6,0.0029,10331261,472,0.0066,7823222,4108,0.0054,22009483
2019年07月,金門縣,3395556,7,0.0025,5449643,499,0.0035,4491743,2685,0.0031,13336942
2019年07月,連江縣,0,0,0,2145350,185,0.0014,1138998,636,0.0008,3284348
2019年07月,合計,1348592783,1557,1,1560475459,86654,1,1459523006,643791,1,4368591248
2019年06月,新北市,118751380,153,0.0927,198306937,11930,0.1322,214153673,90380,0.1642,531211990
2019年06月,台北市,382949406,472,0.299,267472909,14340,0.1784,200676708,85936,0.1539,851099023
2019年06月,桃園市,138863049,165,0.1084,131420151,6079,0.0876,131757545,52062,0.101,402040745
2019年06月,台中市,123402858,194,0.0964,175648566,10214,0.1171,177491079,81667,0.1361,476542503
2019年06月,台南市,69580560,80,0.0543,123867884,8011,0.0826,96573582,46438,0.0741,290022026
2019年06月,高雄市,167933244,180,0.1311,187125833,10709,0.1248,147649384,69136,0.1132,502708461
2019年06月,宜蘭縣,15143653,23,0.0118,29889475,1497,0.0199,24449826,13025,0.0187,69482954
2019年06月,新竹縣,20150060,24,0.0157,35759129,1883,0.0238,33383704,14706,0.0256,89292893
2019年06月,苗栗縣,13118136,19,0.0102,23884928,1233,0.0159,25026175,13277,0.0192,62029239
2019年06月,彰化縣,67935731,31,0.0531,65198879,5219,0.0435,55874046,31417,0.0428,189008656
2019年06月,南投縣,9557820,22,0.0075,25384783,1519,0.0169,23659925,13766,0.0181,58602528
2019年06月,雲林縣,13279732,25,0.0104,35221319,2371,0.0235,26158788,16431,0.0201,74659839
2019年06月,嘉義縣,14453000,13,0.0113,17910615,1321,0.0119,17219665,10577,0.0132,49583280
2019年06月,屏東縣,19938471,35,0.0156,46334256,3327,0.0309,34489250,18956,0.0264,100761977
2019年06月,台東縣,5486200,8,0.0043,17646854,838,0.0118,11467068,8018,0.0088,34600122
2019年06月,花蓮縣,19722544,25,0.0154,24289444,1228,0.0162,20515292,11023,0.0157,64527280
